customerid,customerregion
55,AK
42,BC
10,BC
45,CA
37,Co. Cork
33,DF
71,ID
38,Isle of Wight
46,Lara
78,MT
65,NM
47,Nueva Esparta
48,OR
36,OR
77,OR
32,OR
51,Québec
61,RJ
67,RJ
34,RJ
31,SP
21,SP
15,SP
62,SP
81,SP
88,SP
35,Táchira
43,WA
89,WA
82,WA
75,WY
76,NULL
72,NULL
73,NULL
74,NULL
44,NULL
66,NULL
68,NULL
69,NULL
70,NULL
63,NULL
64,NULL
56,NULL
57,NULL
58,NULL
59,NULL
60,NULL
52,NULL
53,NULL
54,NULL
49,NULL
50,NULL
39,NULL
40,NULL
41,NULL
22,NULL
23,NULL
24,NULL
25,NULL
26,NULL
27,NULL
28,NULL
29,NULL
30,NULL
16,NULL
17,NULL
18,NULL
19,NULL
20,NULL
11,NULL
12,NULL
13,NULL
14,NULL
1,NULL
2,NULL
3,NULL
4,NULL
5,NULL
6,NULL
7,NULL
8,NULL
9,NULL
83,NULL
84,NULL
85,NULL
86,NULL
87,NULL
90,NULL
91,NULL
79,NULL
80,NULL
